ID|Municipio|UF|Latitude|Longitude
178|EUCLIDES DA CUNHA PAULISTA|SP|-22.5610|-52.5900
179|FARTURA|SP|-23.3880|-49.5100
180|FERNANDO PRESTES|SP|-21.2640|-48.6850
181|FERNANDOPOLIS|SP|-20.2840|-50.2460
182|FERNAO|SP|-22.3590|-49.5210
183|FERRAZ DE VASCONCELOS|SP|-23.5410|-46.3690
184|FLORA RICA|SP|-21.6760|-51.3840
185|FLOREAL|SP|-20.6770|-50.1450
186|FLORIDA PAULISTA|SP|-21.6150|-51.1740
187|FLORINIA|SP|-22.9030|-50.7380
188|FRANCA|SP|-20.5390|-47.4010
189|FRANCISCO MORATO|SP|-23.2820|-46.7450
190|FRANCO DA ROCHA|SP|-23.3220|-46.7270
191|GABRIEL MONTEIRO|SP|-21.5310|-50.5550
192|GALIA|SP|-22.2910|-49.5530
193|GARCA|SP|-22.2110|-49.6560
194|GASTAO VIDIGAL|SP|-20.7990|-50.1870
195|GAVIAO PEIXOTO|SP|-21.8390|-48.4950
196|GENERAL SALGADO|SP|-20.6480|-50.3610
197|GETULINA|SP|-21.7990|-49.9290
198|GLICERIO|SP|-21.3840|-50.2110
199|GUAICARA|SP|-21.6220|-49.7990
200|GUAIMBE|SP|-21.9100|-49.8970
201|GUAIRA|SP|-20.3180|-48.3110
202|GUAPIACU|SP|-20.7950|-49.2200
203|GUAPIARA|SP|-24.1850|-48.5330
204|GUARA|SP|-20.4280|-47.8240
205|GUARACAI|SP|-21.0280|-51.2070
206|GUARACI|SP|-20.4990|-48.9450
207|GUARANI D'OESTE|SP|-20.0750|-50.3390
208|GUARANTA|SP|-21.8950|-49.5900
209|GUARARAPES|SP|-21.2610|-50.6430
210|GUARAREMA|SP|-23.4150|-46.0350
211|GUARATINGUETA|SP|-22.8160|-45.1930
212|GUAREI|SP|-23.3730|-48.1840
213|GUARIBA|SP|-21.3600|-48.2280
214|GUARUJA|SP|-23.9930|-46.2560
215|GUARULHOS|SP|-23.4630|-46.5330
216|GUATAPARA|SP|-21.4970|-48.0380
217|GUZOLANDIA|SP|-20.6500|-50.6620
218|HERCULANDIA|SP|-22.0040|-50.3850
219|HOLAMBRA|SP|-22.6330|-47.0560
220|HORTOLANDIA|SP|-22.8580|-47.2200
221|IACANGA|SP|-21.8900|-49.0250
222|IACRI|SP|-21.8580|-50.6890
223|IARAS|SP|-22.8710|-49.1630
224|IBATE|SP|-21.9550|-47.9970
