ID|IBGE_7|IBGE_6|Municipio_real|UF|Latitude|Longitude|Municipio_ficticio
225|3519600|351960|IBITINGA|SP|-21.758|-48.829|FLORINO
226|3519709|351970|IBIUNA|SP|-23.656|-47.223|FOGALLI
227|3519808|351980|ICEM|SP|-20.342|-49.195|FORANCELLI
228|3519907|351990|IEPE|SP|-22.661|-51.076|FRACAO
229|3520004|352000|IGARACU DO TIETE|SP|-22.509|-48.558|FRANCIONI
230|3520103|352010|IGARAPAVA|SP|-20.038|-47.747|FRANSANI
231|3520202|352020|IGARATA|SP|-23.204|-46.156|FROTTA
232|3520301|352030|IGUAPE|SP|-24.708|-47.555|FUJICHIMA
233|3520400|352040|ILHABELA|SP|-23.778|-45.358|GABARRA
234|3520426|352042|ILHA COMPRIDA|SP|-24.741|-47.54|GAENSLY
235|3520442|352044|ILHA SOLTEIRA|SP|-20.433|-51.343|GARABINI
236|3520509|352050|INDAIATUBA|SP|-23.09|-47.218|GARDIOLI
237|3520608|352060|INDIANA|SP|-22.174|-51.252|GARDUSI
238|3520707|352070|INDIAPORA|SP|-19.98|-50.29|GAZETA
239|3520806|352080|INUBIA PAULISTA|SP|-21.77|-50.962|GENOVA
240|3520905|352090|IPAUSSU|SP|-23.057|-49.626|GERVAZIO
241|3521002|352100|IPERO|SP|-23.35|-47.689|GIAMBRONI
242|3521101|352110|IPEUNA|SP|-22.436|-47.719|GIANZI
243|3521150|352115|IPIGUA|SP|-20.657|-49.387|GIBINI
244|3521200|352120|IPORANGA|SP|-24.586|-48.593|GIKOVATE
245|3521309|352130|IPUA|SP|-20.438|-48.012|GILOTTI
246|3521408|352140|IRACEMAPOLIS|SP|-22.581|-47.519|GIOMBELLI
247|3521507|352150|IRAPUA|SP|-21.279|-49.409|GIROLETI
248|3521606|352160|IRAPURU|SP|-21.571|-51.345|GLABA
249|3521705|352170|ITABERA|SP|-23.862|-49.137|GLAUCHE
250|3521804|352180|ITAI|SP|-23.418|-49.091|GNANN
251|3521903|352190|ITAJOBI|SP|-21.318|-49.054|GOLDENFUM
252|3522000|352200|ITAJU|SP|-21.981|-48.805|GONSALVES
253|3522109|352210|ITANHAEM|SP|-24.183|-46.789|GORRERI
254|3522158|352215|ITAOCA|SP|-24.64|-48.843|GRACHIK
255|3522208|352220|ITAPECERICA DA SERRA|SP|-23.717|-46.849|GRAVINA
256|3522307|352230|ITAPETININGA|SP|-23.592|-48.053|GRELLA
257|3522406|352240|ITAPEVA|SP|-23.982|-48.876|GRESCO
258|3522505|352250|ITAPEVI|SP|-23.549|-46.934|GRIFFEL
259|3522604|352260|ITAPIRA|SP|-22.436|-46.822|GRISOLIA
260|3522653|352265|ITAPIRAPUA PAULISTA|SP|-24.574|-49.168|GROBE
261|3522703|352270|ITAPOLIS|SP|-21.596|-48.813|GUAGLINI
262|3522802|352280|ITAPORANGA|SP|-23.708|-49.49|GUARESI
263|3522901|352290|ITAPUI|SP|-22.233|-48.719|GUARIROBA
264|3523008|352300|ITAPURA|SP|-20.646|-51.509|GUIRRA
265|3523107|352310|ITAQUAQUECETUBA|SP|-23.486|-46.348|HACKEL
266|3523206|352320|ITARARE|SP|-24.115|-49.341|HALULI
267|3523305|352330|ITARIRI|SP|-24.289|-47.174|HANDA
268|3523404|352340|ITATIBA|SP|-23.006|-46.839|HATAMOTO
269|3523503|352350|ITATINGA|SP|-23.102|-48.616|HATIDA
270|3523602|352360|ITIRAPINA|SP|-22.253|-47.823|HELFER
271|3523701|352370|ITIRAPUA|SP|-20.641|-47.219|HERMINI
272|3523800|352380|ITOBI|SP|-21.737|-46.975|HESPANNA
273|3523909|352390|ITU|SP|-23.264|-47.299|HIMAUARI
274|3524006|352400|ITUPEVA|SP|-23.153|-47.058|HIROHARA
275|3524105|352410|ITUVERAVA|SP|-20.339|-47.781|HIROMORI
276|3524204|352420|JABORANDI|SP|-20.688|-48.413|HITNER
277|3524303|352430|JABOTICABAL|SP|-21.255|-48.322|HOETTE
278|3524402|352440|JACAREI|SP|-23.305|-45.966|HOLZBACH
279|3524501|352450|JACI|SP|-20.882|-49.57|HOMAIDAN
280|3524600|352460|JACUPIRANGA|SP|-24.693|-48.002|HORONGOZO
281|3524709|352470|JAGUARIUNA|SP|-22.706|-46.986|HORST
282|3524808|352480|JALES|SP|-20.269|-50.546|HUGOLINO
283|3524907|352490|JAMBEIRO|SP|-23.254|-45.688|HYUN
284|3525003|352500|JANDIRA|SP|-23.528|-46.903|IAFELIX
285|3525102|352510|JARDINOPOLIS|SP|-21.018|-47.764|IALONGO
286|3525201|352520|JARINU|SP|-23.101|-46.728|IANKE
287|3525300|352530|JAU|SP|-22.296|-48.558|IANOVSKI
288|3525409|352540|JERIQUARA|SP|-20.311|-47.589|IARDINO
289|3525508|352550|JOANOPOLIS|SP|-22.93|-46.276|INFANTINI
290|3525607|352560|JOAO RAMALHO|SP|-22.25|-50.768|INFANTINO
